iter	Passed	Remaining
0	126	126070
1	128	63877
2	129	43112
3	131	32786
4	133	26561
5	135	22382
6	136	19392
7	138	17204
8	141	15526
9	143	14207
10	145	13059
11	146	12089
12	148	11267
13	156	11056
14	158	10422
15	161	9906
16	163	9437
17	164	8989
18	166	8600
19	168	8236
20	170	7929
21	171	7627
22	173	7351
23	175	7126
24	177	6903
25	180	6759
26	182	6565
27	183	6381
28	185	6211
29	187	6055
30	189	5908
31	190	5761
32	191	5623
33	193	5497
34	194	5375
35	196	5263
36	199	5182
37	200	5085
38	202	4986
39	204	4901
40	206	4823
41	208	4748
42	209	4672
43	211	4593
44	212	4520
45	214	4452
46	216	4383
47	217	4319
48	219	4258
49	221	4204
50	222	4145
51	224	4094
52	226	4040
53	227	3986
54	229	3936
55	231	3896
56	232	3852
57	234	3807
58	235	3763
59	237	3719
60	238	3677
61	240	3637
62	241	3596
63	243	3560
64	245	3525
65	246	3490
66	248	3454
67	249	3419
68	250	3386
69	252	3352
70	253	3321
71	255	3295
72	257	3263
73	258	3233
74	259	3204
75	261	3179
76	262	3152
77	264	3125
78	265	3099
79	267	3073
80	268	3050
81	270	3028
82	271	2996
83	272	2974
84	274	2952
85	275	2929
86	277	2906
87	278	2884
88	280	2870
89	282	2851
90	283	2832
91	285	2813
92	286	2794
93	287	2775
94	289	2757
95	291	2742
96	293	2728
97	294	2713
98	296	2696
99	297	2679
100	299	2666
101	301	2651
102	303	2639
103	304	2625
104	306	2610
105	307	2597
106	309	2582
107	310	2565
108	312	2551
109	313	2536
110	315	2524
111	316	2512
112	318	2500
113	320	2487
114	321	2471
115	322	2457
116	323	2441
117	324	2427
118	325	2413
119	327	2402
120	329	2392
121	330	2378
122	331	2366
123	333	2354
124	334	2343
125	336	2332
126	337	2319
127	339	2311
128	340	2302
129	342	2291
130	343	2281
131	345	2269
132	346	2258
133	347	2247
134	348	2236
135	350	2225
136	351	2217
137	353	2207
138	354	2196
139	356	2188
140	357	2179
141	358	2167
142	360	2158
143	361	2149
144	362	2140
145	364	2131
146	366	2127
147	368	2120
148	369	2112
149	371	2104
150	372	2095
151	374	2086
152	375	2079
153	377	2073
154	378	2065
155	380	2057
156	381	2049
157	383	2041
158	384	2033
159	385	2025
160	386	2015
161	388	2008
162	389	2001
163	391	1994
164	392	1987
165	394	1979
166	395	1972
167	396	1965
168	398	1958
169	400	1953
170	401	1947
171	403	1940
172	404	1933
173	405	1926
174	407	1919
175	408	1913
176	410	1907
177	411	1901
178	413	1895
179	414	1888
180	415	1881
181	417	1874
182	418	1868
183	419	1862
184	421	1856
185	422	1850
186	424	1846
187	426	1841
188	427	1835
189	429	1829
190	430	1823
191	431	1817
192	433	1811
193	434	1805
194	436	1800
195	437	1795
196	438	1789
197	440	1783
198	441	1778
199	443	1772
200	444	1767
201	445	1761
202	447	1757
203	449	1753
204	451	1749
205	452	1744
206	453	1738
207	455	1733
208	456	1728
209	458	1723
210	459	1718
211	461	1713
212	462	1708
213	463	1703
214	465	1698
215	466	1693
216	468	1689
217	469	1683
218	470	1678
219	472	1673
220	473	1669
221	475	1664
222	476	1660
223	477	1655
224	479	1651
225	480	1646
226	482	1642
227	483	1637
228	485	1634
229	487	1630
230	488	1626
231	489	1622
232	491	1616
233	492	1611
234	493	1606
235	494	1602
236	496	1598
237	497	1593
238	498	1588
239	500	1583
240	501	1578
241	502	1574
242	504	1570
243	505	1566
244	506	1562
245	508	1559
246	510	1557
247	512	1555
248	514	1551
249	515	1547
250	516	1542
251	518	1538
252	519	1534
253	521	1531
254	522	1527
255	524	1523
256	525	1520
257	527	1517
258	528	1513
259	530	1509
260	532	1508
261	534	1505
262	535	1501
263	537	1497
264	538	1493
265	540	1490
266	541	1486
267	543	1483
268	545	1481
269	546	1478
270	548	1474
271	549	1470
272	550	1467
273	552	1463
274	553	1460
275	555	1456
276	557	1453
277	558	1451
278	560	1447
279	561	1444
280	563	1440
281	564	1437
282	565	1433
283	567	1429
284	569	1427
285	570	1424
286	572	1422
287	574	1419
288	575	1416
289	577	1413
290	578	1410
291	581	1409
292	582	1406
293	584	1403
294	586	1400
295	587	1397
296	589	1394
297	590	1391
298	592	1389
299	594	1386
300	595	1383
301	597	1380
302	598	1377
303	600	1374
304	601	1371
305	603	1369
306	605	1366
307	607	1363
308	608	1360
309	610	1358
310	611	1354
311	612	1351
312	614	1348
313	616	1346
314	617	1343
315	619	1339
316	620	1336
317	621	1333
318	623	1330
319	624	1327
320	625	1324
321	627	1321
322	629	1318
323	630	1316
324	632	1313
325	633	1309
326	635	1307
327	636	1304
328	638	1301
329	640	1299
330	641	1297
331	643	1293
332	644	1291
333	646	1288
334	647	1285
335	649	1282
336	650	1279
337	652	1277
338	653	1275
339	655	1272
340	656	1269
341	658	1266
342	659	1263
343	661	1260
344	663	1258
345	664	1256
346	665	1253
347	667	1250
348	668	1247
349	670	1244
350	671	1241
351	672	1238
352	674	1235
353	675	1232
354	677	1230
355	678	1227
356	680	1224
357	681	1221
358	682	1219
359	684	1216
360	685	1213
361	687	1211
362	689	1209
363	690	1206
364	692	1204
365	693	1201
366	695	1199
367	696	1196
368	698	1194
369	700	1191
370	701	1189
371	703	1187
372	704	1184
373	706	1181
374	707	1178
375	708	1175
376	709	1172
377	711	1170
378	713	1168
379	714	1166
380	716	1163
381	717	1160
382	718	1157
383	719	1154
384	721	1152
385	723	1150
386	725	1148
387	726	1145
388	727	1143
389	729	1140
390	730	1138
391	732	1135
392	733	1133
393	735	1131
394	737	1128
395	738	1126
396	739	1123
397	741	1121
398	742	1118
399	743	1115
400	745	1113
401	746	1110
402	748	1108
403	749	1106
404	751	1103
405	752	1101
406	754	1098
407	755	1095
408	756	1093
409	758	1090
410	759	1088
411	761	1086
412	762	1084
413	764	1081
414	765	1078
415	766	1076
416	768	1073
417	769	1071
418	771	1069
419	773	1067
420	774	1065
421	776	1062
422	777	1060
423	779	1058
424	780	1056
425	781	1053
426	783	1051
427	785	1049
428	786	1046
429	788	1044
430	789	1042
431	790	1039
432	792	1037
433	793	1034
434	794	1032
435	796	1030
436	798	1028
437	799	1026
438	801	1023
439	802	1021
